building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage,rooms,latitude,longitude,distance_wh,distance_cap,zscore_price
1500 Mass,"1500 Massachusetts Ave NW, Washington, DC","1500 Mass is in the middle of three distinguished DC neighborhoods: Dupont Circle, Golden Triangle and Logan Circle. Walking distance from the Dupont Circle Metro, 1500 Mass offers in-unit laundry facilities, garages and hardwood floors.",52,Studio,1427,456,1,38.90646479999999,-77.0355333,933,2966,-0.6874762306275403
1500 Mass,"1500 Massachusetts Ave NW, Washington, DC","1500 Mass is in the middle of three distinguished DC neighborhoods: Dupont Circle, Golden Triangle and Logan Circle. Walking distance from the Dupont Circle Metro, 1500 Mass offers in-unit laundry facilities, garages and hardwood floors.",52,1 Bedroom,1677,610,2,38.90646479999999,-77.0355333,933,2966,-0.5231765528695277
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13,1 Bedroom,2078,762,2,38.9462151,-77.06404659999998,5893,7877,-0.25963986974567554
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13,2 Bedrooms,2876,1182,3,38.9462151,-77.06404659999998,5893,7877,0.26480470165790054
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13,1 Bedroom,2078,762,2,38.9462151,-77.06404659999998,5893,7877,-0.25963986974567554
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13,2 Bedrooms,2876,1182,3,38.9462151,-77.06404659999998,5893,7877,0.26480470165790054
3003 Van Ness,"3003 Van Ness St NW, Washington, DC","Amenities at 3003 Van Ness are rarely rivaled in Washington, D.C. Clubhouse, media room and Olympic-sized swimming pool, to name a few. Recently renovated and near Connecticut Avenue. Expect 24-hour gym and internet access.",29,Studio,1397,673,1,38.9437227,-77.06123339999998,5540,7509,-0.7071921919585018
3003 Van Ness,"3003 Van Ness St NW, Washington, DC","Amenities at 3003 Van Ness are rarely rivaled in Washington, D.C. Clubhouse, media room and Olympic-sized swimming pool, to name a few. Recently renovated and near Connecticut Avenue. Expect 24-hour gym and internet access.",29,1 Bedroom,1867,936,2,38.9437227,-77.06123339999998,5540,7509,-0.39830879777343814
3003 Van Ness,"3003 Van Ness St NW, Washington, DC","Amenities at 3003 Van Ness are rarely rivaled in Washington, D.C. Clubhouse, media room and Olympic-sized swimming pool, to name a few. Recently renovated and near Connecticut Avenue. Expect 24-hour gym and internet access.",29,2 Bedrooms,2569,1335,3,38.9437227,-77.06123339999998,5540,7509,0.06304469737106112
100K,"100 K Street Northeast, Washington, DC","At the gateway of NoMa, 100K Apartments welcomes residents who crave a living experience that is elegant, refined and walkable to some of DC's best amenities. An intimate ground floor courtyard and private rooftop exudes sophistication.",16,Studio,1750,447,1,38.90286469999999,-77.0053473,2663,1449,-0.475201046964188
100K,"100 K Street Northeast, Washington, DC","At the gateway of NoMa, 100K Apartments welcomes residents who crave a living experience that is elegant, refined and walkable to some of DC's best amenities. An intimate ground floor courtyard and private rooftop exudes sophistication.",16,1 Bedroom,1925,689,2,38.90286469999999,-77.0053473,2663,1449,-0.36019127253357924
100K,"100 K Street Northeast, Washington, DC","At the gateway of NoMa, 100K Apartments welcomes residents who crave a living experience that is elegant, refined and walkable to some of DC's best amenities. An intimate ground floor courtyard and private rooftop exudes sophistication.",16,2 Bedrooms,2715,990,3,38.90286469999999,-77.0053473,2663,1449,0.15899570918174047
455 Eye Street,"455 I St NW, Washington, DC","Unique apartment community in Mount Vernon Triangle. Mix of studios, lofts and townhomes. Community rooftop pool, 24-hour fitness center, inside and outside resident lounges. Stainless steel appliances, quartz countertops, subway tile in showers.",9,Studio,1759,569,1,38.90150120000001,-77.0180106,1559,1513,-0.4692862585648996
455 Eye Street,"455 I St NW, Washington, DC","Unique apartment community in Mount Vernon Triangle. Mix of studios, lofts and townhomes. Community rooftop pool, 24-hour fitness center, inside and outside resident lounges. Stainless steel appliances, quartz countertops, subway tile in showers.",9,1 Bedroom,2180,829,2,38.90150120000001,-77.0180106,1559,1513,-0.19260560122040643
455 Eye Street,"455 I St NW, Washington, DC","Unique apartment community in Mount Vernon Triangle. Mix of studios, lofts and townhomes. Community rooftop pool, 24-hour fitness center, inside and outside resident lounges. Stainless steel appliances, quartz countertops, subway tile in showers.",9,2 Bedrooms,3198,1059,3,38.90150120000001,-77.0180106,1559,1513,0.47642268661022075
Connecticut Heights,"4850 Connecticut Ave NW, Washington, DC","Studios and 1-2 bedroom apartments available in mid-rise, vintage-style complex. Conveniently located to bus stop and Van Ness Metro. Recently renovated with hardwood floors and dishwasher.",34,Studio,1268,458,1,38.95285620000001,-77.06890329999997,6740,8718,-0.7919708256816362
Connecticut Heights,"4850 Connecticut Ave NW, Washington, DC","Studios and 1-2 bedroom apartments available in mid-rise, vintage-style complex. Conveniently located to bus stop and Van Ness Metro. Recently renovated with hardwood floors and dishwasher.",34,1 Bedroom,1560,582,2,38.95285620000001,-77.06890329999997,6740,8718,-0.6000688020602776
